name,unit name,unit symbol,slope,offset,inverse slope
resistance,megaohms,MOhm,1000000,,1.00000000000000000E-06
resistance,gigaohms,GOhm,1000000000,,1.00000000000000000E-09
conductance,siemens,S,1,,1.00000000000000000E+00
conductance,siemens,siemens,1,,1.00000000000000000E+00
conductance,millisiemens,mS,0.001,,1.00000000000000000E+03
conductance,microsiemens,uS,1.00E-06,,1.00000000000000000E+06
conductance,nanosiemens,nS,1.00E-09,,1.00000000000000000E+09
conductance,kilosiemens,kS,1000,,1.00000000000000000E-03
conductance,megasiemens,MS,1000000,,1.00000000000000000E-06
conductance,gigasiemens,GS,1000000000,,1.00000000000000000E-09
capacitance,farads,F,1,,1.00000000000000000E+00
capacitance,farads,farads,1,,1.00000000000000000E+00
capacitance,millifarads,mF,0.001,,1.00000000000000000E+03
capacitance,microfarads,uF,1.00E-06,,1.00000000000000000E+06
capacitance,nanofarads,nF,1.00E-09,,1.00000000000000000E+09
capacitance,picofarads,pF,1.00E-12,,1.00000000000000000E+12
capacitance,kilofarads,kF,1000,,1.00000000000000000E-03
capacitance,megafarads,MF,1000000,,1.00000000000000000E-06
capacitance,gigafarads,GF,1000000000,,1.00000000000000000E-09
inductance,henries,H,1,,1.00000000000000000E+00
inductance,henries,henries,1,,1.00000000000000000E+00
inductance,millihenries,mH,0.001,,1.00000000000000000E+03
inductance,microhenries,uH,1.00E-06,,1.00000000000000000E+06
inductance,nanohenries,nH,1.00E-09,,1.00000000000000000E+09
inductance,kilohenries,kH,1000,,1.00000000000000000E-03
inductance,megahenries,MH,1000000,,1.00000000000000000E-06
inductance,gigahenries,GH,1000000000,,1.00000000000000000E-09
magnetic flux,webers,Wb,1,,1.00000000000000000E+00
magnetic flux,webers,webers,1,,1.00000000000000000E+00
magnetic flux,milliwebers,mWb,0.001,,1.00000000000000000E+03
magnetic flux,microwebers,uWb,1.00E-06,,1.00000000000000000E+06
magnetic flux,nanowebers,nWb,1.00E-09,,1.00000000000000000E+09
magnetic flux,kilowebers,kWb,1000,,1.00000000000000000E-03
magnetic flux,megawebers,MWb,1000000,,1.00000000000000000E-06
magnetic flux,gigawebers,GWb,1000000000,,1.00000000000000000E-09
magnetic flux density,teslas,T,1,,1.00000000000000000E+00
magnetic flux density,teslas,teslas,1,,1.00000000000000000E+00
magnetic flux density,milliteslas,mT,0.001,,1.00000000000000000E+03
magnetic flux density,microteslas,uT,1.00E-06,,1.00000000000000000E+06
magnetic flux density,nanoteslas,nT,1.00E-09,,1.00000000000000000E+09
magnetic flux density,kiloteslas,kT,1000,,1.00000000000000000E-03
magnetic flux density,megateslas,MT,1000000,,1.00000000000000000E-06
magnetic flux density,gigateslas,GT,1000000000,,1.00000000000000000E-09
catalytic activity,moles per second,molps,1,,1.00000000000000000E+00
catalytic activity,moles per second,moles_per_second,1,,1.00000000000000000E+00
catalytic activity,millimoles per second,mmolps,0.001,,1.00000000000000000E+03
catalytic activity,micromoles per second,umolps,1.00E-06,,1.00000000000000000E+06
catalytic activity,nanomoles per second,nmolps,1.00E-09,,1.00000000000000000E+09
concentration,moles per cubic meter,molpm3,1.000000000000000E+00,,1.00000000000000000E+00
concentration,moles per cubic meter,moles_per_cubic_meter,1.000000000000000E+00,,1.00000000000000000E+00
concentration,count per cubic meter,Npm3,1.66053906717384666379e-24,,6.02214076000000000E+23
concentration,count per cubic meter,count_per_cubic_meter,1.66053906717384666379e-24,,6.02214076000000000E+23
concentration,count per liter,NpL,1.66053906717385E-27,,6.02214076000000000E+26
concentration,count per liter,count_per_liter,1.66053906717385E-27,,6.02214076000000000E+26
concentration,count per cubic centimeter,Npcc,1.66053906717385E-30,,6.02214076000000000E+29
concentration,count per cubic centimeter,count_per_cc,1.66053906717385E-30,,6.02214076000000000E+29
concentration,moles per L,M,1000,,1.00000000000000000E-03
concentration,moles per liter,molarity,1000,,1.00000000000000000E-03
concentration,millimolar,mM,1,,1.00000000000000000E+00
concentration,micromolar,uM,0.001,,1.00000000000000000E+03
concentration,nanomolar,nM,0.000001,,1.00000000000000000E+06
luminous flux,lumens,lm,1,,1.00000000000000000E+00
luminous flux,lumens,lumens,1,,1.00000000000000000E+00
luminous flux,millilumens,mlm,0.001,,1.00000000000000000E+03
luminous flux,microlumens,ulm,1.00E-06,,1.00000000000000000E+06
luminous flux,nanolumens,nlm,1.00E-09,,1.00000000000000000E+09
luminous flux,kilolumens,klm,1000,,1.00000000000000000E-03
luminous flux,megalumens,Mlm,1000000,,1.00000000000000000E-06
luminous flux,gigalumens,Glm,1000000000,,1.00000000000000000E-09
illuminance,lux,lux,1,,1.00000000000000000E+00
illuminance,millilux,mlux,0.001,,1.00000000000000000E+03
illuminance,microlux,ulux,1.00E-06,,1.00000000000000000E+06
illuminance,nanolux,nlux,1.00E-09,,1.00000000000000000E+09
illuminance,kilolux,klux,1000,,1.00000000000000000E-03
illuminance,megalux,Mlux,1000000,,1.00000000000000000E-06
illuminance,gigalux,Glux,1000000000,,1.00000000000000000E-09
radioactivity,becquerels,Bq,1,,1.00000000000000000E+00
radioactivity,becquerels,becquerels,1,,1.00000000000000000E+00
radioactivity,millibecquerels,mBq,0.001,,1.00000000000000000E+03
radioactivity,microbecquerels,uBq,1.00E-06,,1.00000000000000000E+06
radioactivity,nanobecquerels,nBq,1.00E-09,,1.00000000000000000E+09
radioactivity,kilobecquerels,kBq,1000,,1.00000000000000000E-03
radioactivity,megabecquerels,MBq,1000000,,1.00000000000000000E-06
radioactivity,gigabecquerels,GBq,1000000000,,1.00000000000000000E-09
absorbed dose,grays,Gy,1,,1.00000000000000000E+00
absorbed dose,grays,grays,1,,1.00000000000000000E+00
absorbed dose,milligrays,mGy,0.001,,1.00000000000000000E+03
absorbed dose,micrograys,uGy,1.00E-06,,1.00000000000000000E+06
absorbed dose,nanograys,nGy,1.00E-09,,1.00000000000000000E+09
absorbed dose,kilograys,kGy,1000,,1.00000000000000000E-03
absorbed dose,megagrays,MGy,1000000,,1.00000000000000000E-06
absorbed dose,gigagrays,GGy,1000000000,,1.00000000000000000E-09
dose equivalent,sieverts,Sv,1,,1.00000000000000000E+00
dose equivalent,sieverts,sieverts,1,,1.00000000000000000E+00
dose equivalent,millisieverts,mSv,0.001,,1.00000000000000000E+03
dose equivalent,microsieverts,uSv,1.00E-06,,1.00000000000000000E+06
dose equivalent,nanosieverts,nSv,1.00E-09,,1.00000000000000000E+09
dose equivalent,kilosieverts,kSv,1000,,1.00000000000000000E-03
dose equivalent,megasieverts,MSv,1000000,,1.00000000000000000E-06
dose equivalent,gigasieverts,GSv,1000000000,,1.00000000000000000E-09
,,,,,
Process finished with exit code 0,,,,,
